Date,Close,High,Low,Open,Volume
2021-08-05,412.8824768066406,412.96659014888616,411.12536648595767,411.4431375086628,38969700
2021-08-06,413.5647277832031,413.9853230057107,412.9198303207797,413.20023664333985,46930000
2021-08-09,413.2282409667969,413.8544275100853,412.4618370122482,413.5366565217107,41222600
2021-08-10,413.74224853515625,414.45257688642795,412.99455549788365,413.6768175506631,43339300
2021-08-11,414.7703857421875,414.86385451105014,413.6862107732414,414.8077789542653,44034300
2021-08-12,416.013427734375,416.15364514758056,413.72359979508303,414.6208372172166,38909400
2021-08-13,416.7705078125,416.78919015715337,415.9760660634455,416.4620637284058,39470300
2021-08-16,417.7518615722656,417.88269503110484,413.91987021373245,415.4713605109986,73740000
2021-08-17,415.013427734375,415.87327201338974,412.0319534928369,415.2003367624512,92673900
2021-08-18,410.4710998535156,415.56484852636714,410.2281152693712,414.00400272308775,89351900
2021-08-19,411.10662841796875,412.30298304453,407.6111188768107,407.7513077712783,92812200
2021-08-20,414.3778991699219,414.7050256555393,410.96650244315384,411.45252871527185,72008700
2021-08-23,418.0229187011719,418.92951158354134,414.4526227295589,416.0601886079049,54973000
2021-08-24,418.6864929199219,419.2192392352231,418.17245747210313,418.6864929199219,38744700
2021-08-25,419.5650634765625,420.07909894332823,418.4995708066867,418.87344589815075,40529700
2021-08-26,417.0882568359375,419.5182735553926,416.9947880722672,419.28461590754796,57829600
2021-08-27,420.8175354003906,421.19138203158167,417.8360607411706,417.8921363097158,77235100
2021-08-30,422.6679992675781,423.4530855354133,421.2473425254043,421.4903556044944,48357400
2021-08-31,422.0418395996094,422.9110393113264,421.44369077915854,422.57458594782264,59300200
2021-09-01,422.26611328125,423.49047714229727,422.03245562039876,422.97644169749003,48721400
2021-09-02,423.5653076171875,424.36907636322894,422.3689814101181,423.686814177093,42501000
2021-09-03,423.4625244140625,423.97658848478034,422.032540383355,422.43445331796556,47170500
2021-09-07,421.9483947753906,423.2101520054819,421.27545948751975,423.1166832249812,51671500
2021-09-08,421.434326171875,422.1446546206983,419.51831615140816,421.41564382630884,56181900
2021-09-09,419.63055419921875,422.98587540724486,419.3875410597101,421.2381203442714,57970400
2021-09-10,416.3218994140625,421.9764037145198,416.2003928599835,421.5558370150139,89948200
2021-09-13,417.38739013671875,419.57445120398825,415.07885103030503,419.31275573342043,83738600
2021-09-14,415.1349182128906,419.03231214319595,414.2470076652523,418.8266922544094,78197100
2021-09-15,418.6024475097656,419.0978006931455,414.45268447355176,415.55554197274927,78792200
2021-09-16,417.93878173828125,419.0509659215077,414.99467250347925,418.0789706250188,77786700
2021-09-17,413.8676452636719,417.5900174422534,413.5113432060983,417.16810338516024,118425000
2021-09-20,406.96673583984375,409.32954038102963,402.10981691745377,407.7543373535724,166445500
2021-09-21,406.58233642578125,410.59537031179264,406.05726871090457,409.30144322368784,92526100
2021-09-22,410.5484619140625,412.5831207202877,406.69483696311266,408.85136298150707,102350100
2021-09-23,415.5365905761719,417.1399497351395,412.179906070705,412.41431229246786,76396000
2021-09-24,416.2210693359375,416.9336734105124,413.68947068134617,413.9051347076099,62094800
2021-09-27,415.0303039550781,416.3523298980062,414.33644206403306,415.1896841659372,61371100
2021-09-28,406.666748046875,412.5925453791143,405.93540163406385,412.2643708805607,130436300
2021-09-29,407.35125732421875,409.7797030258202,406.78867651215324,408.0450907778052,82329200
2021-09-30,402.372314453125,409.5263675354796,402.0347546508198,408.82314894588467,140506000
2021-10-01,407.1542053222656,408.8325618141087,400.5814745875316,404.0975677717047,129240100
2021-10-04,401.90362548828125,406.89176913571015,399.76581284989487,405.9916570765266,128570000
2021-10-05,406.08544921875,408.3263583984505,402.6068680010138,403.40382646967265,90682500
2021-10-06,407.77313232421875,407.9794109817039,400.8722256266175,402.4942986652522,113032200
2021-10-07,411.2985534667969,414.1301704422201,410.86725401277494,411.0454050378357,72437500
2021-10-08,410.5484619140625,412.45186810178103,409.92026919841044,412.06743842451107,74557400
2021-10-11,407.57623291015625,412.79881127574237,407.5105922896659,409.89216791478833,65233300
2021-10-12,406.5729675292969,408.89828794249456,405.785365924999,408.49511604042164,71181200
2021-10-13,408.0356750488281,408.85140428938456,404.62273464026305,407.5949901170963,72974000
2021-10-14,414.8990173339844,415.0490407513381,411.2235151439211,411.69232759288604,70236800
2021-10-15,418.0588073730469,418.42449481685196,416.3898362044381,417.00867206884914,66260200
2021-10-18,419.2964782714844,419.6340094982905,415.6209761000303,416.27732497087453,62213200
2021-10-19,422.5314025878906,422.597014600356,420.30920699257047,420.9186862186984,46996800
2021-10-20,424.19085693359375,424.4909037495053,422.8781878815295,422.99069828398655,49571600
2021-10-21,425.2972717285156,425.52229254631413,423.15948811730703,423.5907875561012,41305400
2021-10-22,424.8566589355469,426.3099949344086,422.9157682107572,424.8660443425605,58845100
2021-10-25,427.135009765625,427.4631842019091,424.1721402757418,425.94423644921017,45214500
2021-10-26,427.51953125,429.8917216010357,427.1444869339798,428.68220582792407,56075100
2021-10-27,425.62548828125,428.6446418796485,425.55046225853243,427.9789361517596,72438000
2021-10-28,429.7322998046875,429.80729721502064,427.0413206145411,427.050677407055,51437900
2021-10-29,430.60430908203125,430.89497056169455,427.14447031928165,427.435131798945,70162400
2021-11-01,431.344970703125,431.96380657611127,429.61974430603044,431.5887337216653,48433600
2021-11-02,433.08892822265625,433.3983604582575,431.3824440663046,431.5137252848119,48908400
2021-11-03,435.73309326171875,436.1362651463071,432.08571825925554,432.5264031559585,52509800
2021-11-04,437.78643798828125,437.87082079414984,435.98618562096254,436.33310224976924,52847100
2021-11-05,439.305419921875,441.29318025230174,437.79585747597196,440.00863863956613,66390600
2021-11-08,439.68048095703125,440.89941061596096,438.9960330253521,440.4024705143944,50405200
2021-11-09,438.22723388671875,440.28063519202976,436.8207962043988,440.0462289116431,51149100
2021-11-10,434.70172119140625,438.2272005366199,433.2202862022842,436.53945827784827,69429700
2021-11-11,434.8423767089844,436.26758515556486,434.8236345082835,436.1925591246675,34848500
2021-11-12,438.1240234375,438.6772187538003,435.1611250038921,436.1081354103615,53466700
2021-11-15,438.2740173339844,439.56794432499424,437.1488845782679,439.40856410960447,46980500
2021-11-16,440.0086975097656,441.14321584749956,437.93655408966225,438.01155150607127,48857500
2021-11-17,438.9398193359375,439.9243142257767,438.3209833485355,439.74616317118915,47858300
2021-11-18,440.4305725097656,440.6931063478928,437.25201023461375,439.9711168325113,50625600
2021-11-19,439.6429748535156,441.5650945480242,439.2772873896782,440.31803734544474,57315600
2021-11-22,438.40533447265625,444.0029569483632,438.19905582510415,441.5182563851529,72762000
2021-11-23,438.9866027832031,439.83984487309516,435.47989482517465,438.0771054886185,73206500
2021-11-24,440.15863037109375,440.28052618496287,436.17372459112534,436.98945366666055,61858800
2021-11-26,430.3417663574219,434.96425094373944,429.21660486222436,433.50155816840993,112669600
2021-11-29,435.6205139160156,437.4582506222478,432.92953515695143,435.12357388678817,86268800
2021-11-30,427.1444091796875,435.0860934508205,426.9006175423312,433.18271599479897,148559600
2021-12-01,422.40008544921875,435.68624501124225,422.2031922004538,432.8452422514508,131939200
2021-12-02,428.8695983886719,430.4354444700302,422.2218416711752,422.6156566962603,127637800
2021-12-03,425.1379089355469,431.58874442702455,420.9185967447433,430.5292522904625,137331600
2021-12-06,430.17291259765625,432.0481622961489,425.2691243350437,427.6788270649763,98977500
2021-12-07,439.071044921875,439.63362565886325,430.0417113660508,435.442440658666,95484700
2021-12-08,440.233642578125,440.68371284123066,437.71142925167635,439.46481188962696,72238800
2021-12-09,437.2614440917969,440.3368530852221,437.06455084489505,438.9491577219033,61272600
2021-12-10,441.3775939941406,441.52761743144606,437.41145846142433,439.9617996675269,77159800
2021-12-13,437.46771240234375,441.2088270752524,437.18640772794674,440.86191039613635,87724700
2021-12-14,434.4579162597656,436.6894683893485,431.5419161774256,434.20476780499797,97264100
2021-12-15,441.2463684082031,441.49013147147207,432.0013702393154,434.51422720060384,116899300
2021-12-16,437.35516357421875,443.37469964954175,435.8080595359977,443.09342361388826,116568600
2021-12-17,432.70050048828125,437.2827723193572,430.997439062657,434.28123782567144,135511600
2021-12-20,428.09930419921875,428.4944740688218,424.48617896144225,427.6288447352182,107134800
2021-12-21,435.70196533203125,435.8430974441347,429.3507618562461,431.5148641473523,69806300
2021-12-22,440.0584411621094,440.17134685592566,435.25032979357655,435.44794347232624,58890200
2021-12-23,442.7965393066406,444.2925972471357,440.9523458894644,441.0558332086626,56439700
2021-12-27,449.0630187988281,449.1100532638039,444.12319396445406,444.1702284294298,56808600
2021-12-28,448.696044921875,450.5214301033936,447.9339028188725,449.49583182545905,47274600
2021-12-29,449.2701110839844,450.28629118812887,447.8022794254561,448.79965148280036,54503000
2021-12-30,448.028076171875,450.70028317333333,447.5670349664784,449.693492768275,55329000
2021-12-31,446.8989562988281,448.6866969603346,446.6261104168571,447.53880315085513,65237400
2022-01-03,449.48651123046875,449.61825370387953,445.85457683489585,448.15981168840295,72668200
2022-01-04,449.3359069824219,451.6223622300133,447.4822951975026,450.9072545217483,71178700
2022-01-05,440.707763671875,449.74059423041956,440.6136660037969,448.96903355258615,104538900
2022-01-06,440.293701171875,443.0035528678846,437.9319849605687,440.2466667010779,86858900
2022-01-07,438.552978515625,441.47925183914367,437.1980527186537,440.3031029677847,85111600
2022-01-10,438.0072937011719,438.2236867337772,429.6237004184561,435.36331312046167,119362000
2022-01-11,441.9967346191406,442.0908322693714,434.75164626994354,437.7437907456816,74303100
2022-01-12,443.191650390625,445.2428756029094,441.2345515344107,443.72798110407143,67605400
2022-01-13,437.0851745605469,444.94185525916146,436.0595761258511,444.2926187440994,91173100
2022-01-14,437.263916015625,437.6120514809011,432.7286791584299,433.94247281173614,95890900
2022-01-18,429.52020263671875,432.7851934565631,428.4099248561453,432.5781900809837,109709100
2022-01-19,425.0601806640625,432.455790611051,424.7873060995941,431.0632487949444,109357600
2022-01-20,420.3556823730469,431.6372951914394,418.23861402309865,426.9421172395524,122379700
2022-01-21,412.10369873046875,421.58814926561837,412.0754723100945,419.2358518525332,202271200
2022-01-24,413.85382080078125,414.3619251147175,395.901098425589,406.50524550753806,251783900
